Word,Count
program,3.0
fee,2.0
public,2.0
services,2.0
facilities,2.0
shall,2.0
flood,2.0
provide/provides,2.0
escribed,1.0
major,1.0
thoroughfare,1.0
bridge,1.0
foothill,1.0
eastern,1.0
corridor,1.0
consistent,1.0
said,1.0
building,1.0
permit,1.0
issue,1.0
phased,1.0
accordance,1.0
approve,1.0
growth,1.0
management,1.0
phasing,1.0
pertaining,1.0
timely,1.0
condition,1.0
noted,1.0
final,1.0
subdivision,1.0
map,1.0
development,1.0
proposals,1.0
within,1.0
project,1.0
area,1.0
control,1.0
regional,1.0
co,1.0
